股票代码,名称,现价,涨跌幅/%,涨跌,涨速/%,换手/%,量比,振幅/%,成交额,流通股,流通市值,市盈率
838810,春光智能,21.16,29.98,4.88,0.00,30.76,4.01,31.70,2.63亿,4457.68万,9.43亿,121.62
870199,倍益康,29.19,29.96,6.73,0.00,23.38,5.88,27.25,2.36亿,3720.15万,10.86亿,亏损
301387,光大同创,40.36,20.01,6.73,0.00,26.36,5.05,18.32,4.30亿,4240.08万,17.11亿,60.49
301008,宏昌科技,27.54,20.00,4.59,0.00,12.68,3.49,18.61,3.20亿,9746.68万,26.84亿,64.99
688667,菱电电控,54.90,20.00,9.15,0.00,4.56,7.54,16.07,1.26亿,5181.21万,28.44亿,40.69
300005,探路者,10.15,19.98,1.69,0.00,18.78,2.70,13.59,16.47亿,8.83亿,89.66亿,45.46
300366,创意信息,7.16,19.93,1.19,0.00,9.93,2.87,19.77,3.66亿,5.31亿,37.98亿,亏损
688280,精进电动-UW,6.98,19.93,1.16,0.00,10.96,6.26,15.46,3.77亿,5.21亿,36.33亿,21.23
430510,丰光精密,23.11,17.91,3.51,0.00,9.47,2.25,18.73,1.99亿,9490.71万,21.93亿,亏损
300879,大叶股份,28.40,17.07,4.14,0.71,26.99,2.74,23.12,14.24亿,2.01亿,57.09亿,7.40
300125,*ST聆达,6.80,16.44,0.96,0.00,6.86,1.02,16.78,1.16亿,2.65亿,18.05亿,亏损
688580,伟思医疗,51.38,16.38,7.23,0.75,8.38,2.15,16.38,3.90亿,9577.13万,49.21亿,37.03
873833,美心翼申,21.80,16.08,3.02,0.00,25.40,2.33,17.09,1.66亿,3172.73万,6.92亿,42.08
688205,德科立,59.70,15.41,7.97,0.30,18.69,2.53,17.79,7.19亿,6785.48万,40.51亿,124.11
688588,凌志软件,14.25,14.46,1.80,-0.21,7.69,6.16,12.45,4.29亿,4.00亿,57.00亿,21.75
830896,旺成科技,20.25,14.02,2.49,0.00,13.54,2.54,18.86,1.17亿,4440.18万,8.99亿,37.25
688411,海博思创,74.31,13.61,8.90,-0.07,14.33,2.21,15.29,3.71亿,3564.94万,26.49亿,35.18
688590,新致软件,22.52,13.39,2.66,-0.27,6.41,3.24,14.96,3.74亿,2.63亿,59.20亿,94.11
301550,斯菱股份,118.90,13.24,13.90,0.00,9.93,1.33,18.35,7.57亿,6721.15万,79.91亿,70.38
688499,利元亨,27.06,12.89,3.09,-0.07,7.54,3.87,8.68,3.38亿,1.69亿,45.66亿,89.04
300946,恒而达,35.80,12.58,4.00,-0.50,16.62,2.87,18.49,3.30亿,5651.10万,20.23亿,53.65
838171,邦德股份,16.72,12.29,1.83,0.00,8.00,2.83,11.55,7522.32万,5788.49万,9.68亿,18.82
688018,乐鑫科技,218.00,12.16,23.64,-0.09,5.71,2.68,8.23,13.67亿,1.12亿,244.60亿,65.26
300972,万辰集团,164.75,12.07,17.75,0.58,3.98,1.52,16.47,10.00亿,1.56亿,256.56亿,34.50
872953,国子软件,54.87,11.98,5.87,0.00,19.08,2.02,11.82,2.75亿,2726.37万,14.96亿,167.82
300281,金明精机,6.79,11.31,0.69,0.00,14.44,2.28,16.07,3.85亿,3.97亿,26.98亿,313.33
300258,精锻科技,13.32,11.28,1.35,0.00,10.60,1.89,16.54,6.74亿,4.98亿,66.38亿,42.55
430425,乐创技术,32.25,10.82,3.15,0.00,21.54,2.09,20.45,2.90亿,4229.52万,13.64亿,45.60
301260,格力博,15.78,10.66,1.52,0.00,10.52,5.20,13.53,3.44亿,2.12亿,33.50亿,10.88
300911,亿田智能,50.25,10.61,4.82,0.54,11.14,2.89,11.71,7.44亿,1.30亿,65.23亿,亏损
920106,林泰新材,142.50,10.46,13.50,0.00,18.96,1.14,8.52,3.19亿,1210.57万,17.25亿,37.03
832876,慧为智能,28.00,10.32,2.62,0.00,11.40,2.24,11.03,1.19亿,3864.47万,10.82亿,208.38
688678,福立旺,21.49,10.15,1.98,-0.05,6.72,1.52,12.20,3.66亿,2.59亿,55.72亿,98.84
600340,华夏幸福,2.39,10.14,0.22,0.00,6.46,2.69,11.06,5.85亿,38.93亿,93.05亿,亏损
000016,深康佳Ａ,5.45,10.10,0.50,0.00,3.90,1.03,3.84,3.37亿,15.97亿,87.01亿,34.60
603839,安正时尚,5.78,10.10,0.53,0.00,1.64,0.46,5.91,3751.28万,3.99亿,23.07亿,25.03
600743,华远地产,1.86,10.06,0.17,0.00,2.35,2.00,7.69,1.01亿,23.46亿,43.64亿,亏损
600735,新华锦,5.69,10.06,0.52,0.00,8.31,1.87,10.06,1.96亿,4.25亿,24.21亿,96.82
000565,渝三峡Ａ,7.55,10.06,0.69,0.00,28.69,6.76,12.68,9.21亿,4.34亿,32.74亿,155.89
603123,翠微股份,8.43,10.05,0.77,0.00,3.42,0.48,7.44,1.86亿,6.52亿,54.99亿,亏损
600774,汉商集团,8.98,10.05,0.82,0.00,2.65,1.05,--,7023.42万,2.95亿,26.48亿,239.86
000665,湖北广电,4.93,10.04,0.45,0.00,5.74,2.13,9.60,3.09亿,11.37亿,56.06亿,亏损
603863,松炀资源,13.04,10.04,1.19,0.00,5.27,2.24,10.04,1.36亿,2.05亿,26.69亿,亏损
002164,宁波东力,8.99,10.04,0.82,0.00,21.93,1.77,9.30,8.98亿,4.80亿,43.13亿,75.47
603616,韩建河山,3.51,10.03,0.32,0.00,5.79,2.39,5.33,7596.54万,3.81亿,13.39亿,89.06
002730,电光科技,15.80,10.03,1.44,0.00,1.93,0.76,--,1.06亿,3.46亿,54.67亿,69.31
002664,信质集团,17.23,10.03,1.57,0.00,6.14,2.31,11.05,4.08亿,4.03亿,69.36亿,308.05
603586,金麒麟,16.90,10.03,1.54,0.00,10.25,3.62,9.57,3.26亿,1.96亿,33.13亿,11.04
002491,通鼎互联,4.61,10.02,0.42,0.00,1.85,1.64,0.72,1.00亿,11.76亿,54.24亿,10.77
002286,保龄宝,9.22,10.02,0.84,0.00,10.19,1.70,5.85,3.41亿,3.70亿,34.08亿,16.93
603922,金鸿顺,19.21,10.02,1.75,0.00,2.81,0.59,6.76,9384.28万,1.79亿,34.42亿,241.18
002272,川润股份,9.77,10.02,0.89,0.00,15.95,1.87,10.02,5.88亿,3.87亿,37.78亿,亏损
002436,兴森科技,12.52,10.02,1.14,0.00,7.80,2.09,10.19,14.13亿,15.00亿,187.85亿,564.25
002355,兴民智通,6.26,10.02,0.57,0.00,1.79,0.83,--,6929.07万,6.18亿,38.70亿,7.18
001256,炜冈科技,22.96,10.01,2.09,0.00,17.16,1.20,10.93,1.43亿,3847.43万,8.83亿,31.30
600986,浙文互联,8.02,10.01,0.73,0.00,7.57,1.95,4.94,8.91亿,14.87亿,119.29亿,27.11
603955,大千生态,24.94,10.01,2.27,0.00,18.54,1.75,9.88,6.15亿,1.36亿,33.85亿,344.20
600463,空港股份,9.34,10.01,0.85,0.00,2.19,2.09,8.01,5982.80万,3.00亿,28.02亿,186.58
605069,正和生态,9.67,10.01,0.88,0.00,19.37,1.25,6.49,1.56亿,8416.13万,8.14亿,12.18
