商品名称,销量,折前价格,折后价格
【良品铺子开口笑甘栗120gx2】栗子熟制板栗仁新鲜坚果炒货休闲零食,976,18.80,18.80
良品铺子&nbsp;鲜切薯条（原味/蜂蜜黄油味）&nbsp;100gx1袋,1366,14.90,10.90
良品铺子&nbsp;黑麦高纤苏打饼干(奶盐味)&nbsp;248gx1袋,134,12.90,11.90
良品铺子&nbsp;北海道风味蛋糕卷(香蕉味)&nbsp;160gx1袋,78,8.90,8.90
良品铺子&nbsp;香辣卤藕&nbsp;168g×1袋,1255,13.90,12.90
良品铺子&nbsp;素小烧（香辣味）&nbsp;200gx1袋,639,14.90,10.90
良品铺子&nbsp;坚果车轮面包果仁全麦吐司&nbsp;500gx1箱,661,26.90,19.90
良品铺子&nbsp;鲜炖银耳羹&nbsp;200gx2罐z,327,19.00,10.90
良品铺子&nbsp;蛋奶脆华夫&nbsp;105gx1袋,1751,18.06,8.90
良品铺子&nbsp;枣夹核桃（量贩装）约100袋&nbsp;1000gx1箱,2692,59.90,59.00
良品铺子&nbsp;山楂片&nbsp;250gx1袋,54,13.90,11.90
良品铺子&nbsp;葡萄干沙琪玛&nbsp;500gx2箱,364,31.80,19.90
良品铺子&nbsp;海苔蛋松卷&nbsp;92gx1盒,944,13.90,12.90
良品铺子&nbsp;高山小土豆&nbsp;烧烤味&nbsp;205gx1袋,128,16.50,12.90
良品铺子&nbsp;鲜蛋酥沙琪玛&nbsp;500g/箱,91,15.90,10.90
良品铺子&nbsp;虾片（原味/烤肉味）&nbsp;25gx2袋,869,7.90,7.90
良品铺子&nbsp;香辣海带&nbsp;218gx1袋,1036,12.90,12.90
良品铺子&nbsp;山楂饴&nbsp;250gx1袋,767,11.90,10.90
良品铺子&nbsp;肉松饼&nbsp;营养早餐&nbsp;380gx2袋,1725,39.00,19.90
良品铺子&nbsp;虎皮凤爪(卤香味)&nbsp;68g×1袋,41,13.90,10.90
良品铺子&nbsp;华夫饼（奶香味）&nbsp;224gx1袋,495,22.90,18.90
良品铺子&nbsp;葡萄干（无核白葡干/黑加仑葡干）&nbsp;180gx1袋&nbsp;mj,373,32.00,12.90
良品铺子&nbsp;面筋卷（烧烤味）&nbsp;120gx1袋,1951,16.50,11.90
良品铺子&nbsp;海鲜风味锅巴&nbsp;75gx1袋&nbsp;mj,919,18.00,7.90
良品铺子&nbsp;轻甜芒果干&nbsp;80gx1袋,424,14.90,12.90
良品铺子&nbsp;麻辣鸡丝&nbsp;100gx1袋,31,10.90,10.90
良品铺子&nbsp;红枣杞子沙琪玛&nbsp;270gx1袋,24,12.90,12.90
良品铺子&nbsp;巧克力华夫脆&nbsp;66gx1袋,1200,12.90,11.90
良品铺子&nbsp;可可软心糯曲奇&nbsp;112gx1盒,55,21.90,15.90
良品铺子&nbsp;高蛋白肉脯（三种口味可选）&nbsp;100gx1袋,108,15.90,12.90
良品铺子&nbsp;蛋黄酥雪媚娘网红零食&nbsp;320gx1盒,983,19.90,12.00
良品铺子&nbsp;香葱薄饼&nbsp;300gx1袋,23,12.90,12.90
良品铺子&nbsp;虎皮翅尖(麻辣味)&nbsp;100gx1袋,5,12.90,12.90
良品铺子&nbsp;礼包组合/&nbsp;每日坚果（青春版）&nbsp;750g/30袋,786,129.00,68.00
良品铺子&nbsp;脆冬枣（量贩装）&nbsp;400gx1箱,948,49.90,49.90
良品铺子&nbsp;奶香巴旦木&nbsp;100g×3袋,245,41.70,29.80
良品铺子&nbsp;每日坚果蛋白棒&nbsp;200gx2盒,5,30.90,25.80
良品铺子&nbsp;香酥脆灰枣&nbsp;400gx1箱,192,39.00,21.90
良品铺子&nbsp;鹌鹑卤蛋(卤香味)&nbsp;120gx1袋,3,21.80,13.90
良品铺子&nbsp;葡萄干沙琪玛&nbsp;500gx1箱,53,31.80,12.00
良品铺子&nbsp;盐焗鹌鹑蛋卤蛋铁蛋即食小包装&nbsp;散称/约60颗,10,29.90,24.90
良品铺子&nbsp;甘栗80gx3袋,680,26.90,26.90
良品铺子&nbsp;咖啡饼干（拿铁风味）&nbsp;260gx1盒,515,21.00,14.90
良品铺子&nbsp;芒果干&nbsp;60gx1袋,230,9.90,9.90
良品铺子&nbsp;鱼丸香辣味&nbsp;100g&times;2袋,106,21.90,21.90
良品铺子&nbsp;可可薄饼&nbsp;300gx1盒,7,12.90,9.90
良品铺子&nbsp;鲜拌花生牛肉&nbsp;80gx1袋,0,21.50,16.90
良品铺子&nbsp;芒果干量贩装&nbsp;500gx1袋,2880,38.00,29.90
良品铺子&nbsp;威化饼干（牛奶味/豆乳风味）&nbsp;118gx1袋z,289,26.00,12.90
良品铺子&nbsp;奶香夹心枣&nbsp;100gx1袋,912,24.90,13.90
良品铺子&nbsp;芝士夹心饼干&nbsp;106gx1袋,975,18.00,8.90
良品铺子&nbsp;紫薯仔&nbsp;100g*袋,264,9.90,8.90
良品铺子&nbsp;香卤小黄鱼&nbsp;118gx1袋,40,21.50,15.90
良品铺子&nbsp;迷你小香肠(炭烤味)&nbsp;75gx1袋,382,14.90,12.90
