标题,链接,摘要,日期
财政部、工信部、交通部联合调研组莅临云快充考,http://www.ocpe.com.cn/xinnengyuan/xnzx/9140.html,近日，财政部、工信部、交通部等三部门相关处室负责同志，及中国汽车技术研究中心专家组成联合调研组，莅临云快充南京总部调研考察。云快充CFO戴骏及其团队协同汇报，双方围 ... ,发布日期：2025-04-22
2025数字中国创新大赛能源大数据应用领域新增赛,http://www.ocpe.com.cn/xinnengyuan/xnzx/8969.html,2月25日，国网福建电力在数字中国创新大赛平台发布2道方案题，1道算法题。为扩大赛事影响力，汇聚多源能源数据融合应用的先进场景，国网福建电力联合国家电网有限公司大数据 ... ,发布日期：2025-03-12
解码新能源黑科技！《张朝阳的物理课》走进阳光,http://www.ocpe.com.cn/xinnengyuan/xnzx/8938.html,2月27日，搜狐董事局主席兼CEO、物理学博士张朝阳来到合肥，走进全球光伏储能龙头企业阳光电源，和阳光电源副董事长顾亦磊、高级副总裁吴家貌一起，通过“探厂+物理课 ... ,发布日期：2025-03-03
总奖金51万元！2025数字中国创新大赛能源大数据,http://www.ocpe.com.cn/xinnengyuan/xnzx/8914.html,近日，2025年数字中国创新大赛&middot;数据要素赛道、人工智能赛道启动报名，由国网福建省电力有限公司（以下简称国网福建电力）出题的能源大数据应用领域赛题，分别于数字 ... ,发布日期：2025-02-26
知名丹麦电机企业Hoyer霍尔收购NowiTek，升级电,http://www.ocpe.com.cn/xinnengyuan/xnzx/8777.html,       作为全球节能电机解决方案的知名企业，Hoyer霍尔最近收购NowiTek，标志其在保持电机领域创新的领先地位迈出战略性一步。NowiTek是一家专注于可扩展SCADA平台和PLC编 ... ,发布日期：2025-01-06
2024彭博全球储能可融资性榜单发布：阳光电源摘,http://www.ocpe.com.cn/xinnengyuan/xnzx/8707.html,近日，彭博新能源财经（BloombergNEF）发布了《Energy Storage System Cost Survey 2024》，阳光电源凭借优质的产品质量和创新技术、稳健的财务状况和供应链、全球的项目实 ... ,发布日期：2024-12-19
博达新能EliTe Solar埃及项目奠基仪式圆满举行，,http://www.ocpe.com.cn/xinnengyuan/xnzx/8704.html,2024年12月16日，埃及苏伊士 —— 博达新能EliTe Solar埃及项目奠基仪式隆重举行。这一项目的启动不仅是博达新能全球化战略的重要里程碑，也为埃及光伏产业注入先 ... ,发布日期：2024-12-18
亿纬锂能马来西亚工厂设备进场仪式圆满举行！链,http://www.ocpe.com.cn/xinnengyuan/xnzx/8677.html,12月14日，亿纬锂能马来西亚工厂设备进场仪式圆满举行。惠州市人民政府副市长李俊玲一行领导，马来西亚投资发展局首席执行官YBhg. Datuk. Sikh Shamsul Ibrahim Sikh Abdul ... ,发布日期：2024-12-16
德国总理访印期间，德国绿色独角兽企业Enpal高管,http://www.ocpe.com.cn/xinnengyuan/xnzx/8544.html,中国企业是太阳能市场的技术领导者，Enpal支持中国企业与欧盟及新兴市场建立更广泛的国际合作网络，Enpal高管Henning Rath表示。 ... ,发布日期：2024-11-15
行业首个！阳光电源“AI能效宝”来了,http://www.ocpe.com.cn/xinnengyuan/xnzx/8124.html,分布式光伏电站安装场景复杂，常面临断路、遮挡、脏污、限电等低效问题，影响发电效率，严重时会导致电站无法发电。面对数量多、布局散的分布式光伏电站，当前行业主流运维 ... ,发布日期：2024-08-15
共绘未来新能源领域蓝图！Kiwa（琦威）中国并购,http://www.ocpe.com.cn/xinnengyuan/xnzx/8099.html,在全球“双碳”目标的推动下，能源绿色转型正以前所未有的速度推进，新能源产业作为新经济发展的重要引擎，正吸引着全球投资者的目光。2024年8月1日，一场具有里 ... ,发布日期：2024-08-12
上海电气引领氢能革新，打造绿色能源增长极,http://www.ocpe.com.cn/xinnengyuan/xnzx/7985.html,近年来，全球能源转型步伐加快，氢能作为未来能源的重要发展方向备受瞩目。在这一背景下，上海电气紧跟时代潮流，积极布局氢能全产业链，致力于推动绿色低碳转型。在日前举 ... ,发布日期：2024-07-11
