标题,链接,摘要,日期
全面使用23.9%+高效ABC组件！爱旭股份与HDG携手,http://www.ocpe.com.cn/dianli/dlzx/7904.html,6月21日，在德国慕尼黑国际太阳能展（Intersolar Europe 2024）现场，上海爱旭新能源股份有限公司（简称“爱旭股份”，股票代码：600732.SH）与HDG Technik GmbH ... ,发布日期：2024-06-24
辛保安：加快构建新型电力系统 为美丽中国建设赋,http://www.ocpe.com.cn/dianli/dlzx/2024-03-05/7436.html,   3月4日，人民政协报头版“政协委员谈发展”专栏刊发辛保安董事长署名理论文章《加快构建新型电力系统 为美丽中国建设赋动能》，深入展现公司坚决贯彻习近平生 ... ,发布日期：2024-03-05
人人护航电力，共建美丽大连！2023年大连市电力,http://www.ocpe.com.cn/dianli/dlzx/2023-04-07/6157.html,电力的可靠供应是保证我市经济平稳有序发展、居民安居乐业的重要保障，为大力营造电力设施安全稳定的社会环境，推动电力设施保护工作深入开展，4月7日，由大连市工业和信息 ... ,发布日期：2023-04-07
武定田心光伏电站接网工程力争12月5日投运,http://www.ocpe.com.cn/dianli/dlzx/2021-12-07/5025.html,       武定田心光伏电站接网工程线路长0.7千米，新建杆塔6基。自2021年10月16日动工以来，截止11月21日，基础开挖、浇筑已全部完成，11月22日开始进行杆塔组立工作，工期1 ... ,发布日期：2021-12-07
并网发电！国内首台155米超高钢混塔架正式步入商,http://www.ocpe.com.cn/dianli/dlzx/2021-05-08/4453.html,        引言：自2013年，金风科技研发的国内首台钢混塔架在新疆达坂城并网以来，据不完全统计，约有3/4的风电主机厂家已在进行140m以上超高钢混塔架研发应用，越来越多的业 ... ,发布日期：2021-05-08
烽火通信助力国家电网继电保护专网建设,http://www.ocpe.com.cn/dianli/dlzx/2021-01-07/4226.html,"          近年来,随着社会经济的快速发展和城市化建设进程的不断加快,各行各业对电力的需求也日渐增多,配电线路的稳定供电对国民经济的发展和人民的正常生产生活起到了重要 ... ",发布日期：2021-01-07
【神马电力】25年领跑电力行业，全面预算管理再,http://www.ocpe.com.cn/dianli/dlzx/2020-12-30/4210.html,       1996年，研发出填补国内空白的输变电橡胶密封件；     2004年，推出填补国内外空白，国际领先的变电站复合绝缘子；     2008年，研发出性能国际领先的线路复合绝缘子 ... ,发布日期：2020-12-30
加强主体入市  促进电力交易,http://www.ocpe.com.cn/dianli/dlzx/2020-11-13/4100.html,            最近，依照江苏省发展改革委、江苏能源监管办2021年电力市场交易的有关通知，江苏电力交易中心发布《关于开展2021年度电力用户及售电公司入市相关工作的通知》 ... ,发布日期：2020-11-13
国网浙江电力：“点亮玉树”链接“绿电学校”,http://www.ocpe.com.cn/dianli/dlzx/2020-11-13/4099.html,           国网浙江电力联合玉树供电公司、玉树教育部门，以及浙江教育机构、公益组织、媒体、爱心企业等多方力量，扎实推进可复制、可推广的“绿电学校”建设。 ... ,发布日期：2020-11-13
打通电力通信网的“最后一公里”,http://www.ocpe.com.cn/dianli/dlzx/2020-11-13/4098.html,          今年，福建电科院与中国移动福建公司、清华大学、浙江大学合作成立能源互联网5G技术创新实验室，共同开展新型配网保护功能测试、5G客户前置设备（5G-CPE）终端测 ... ,发布日期：2020-11-13
“绿色诊疗卡”力保可靠用电,http://www.ocpe.com.cn/dianli/dlzx/2020-11-13/4097.html,          今年迎峰度夏工作开展以来，国网株洲供电公司通过特巡、带电检测为设备把脉问诊，已为设备建立“绿色诊疗卡”52张，对出现过故障的设备“望闻问切 ... ,发布日期：2020-11-13
打造高品质城市能源互联网建设的常州样本,http://www.ocpe.com.cn/dianli/dlzx/2020-11-13/4096.html,           最近，2020年世界工业与能源互联网博览会在江苏常州拉开序幕。常州市人民政府与国网江苏省电力有限公司签署了“绿色能源高品质”城市能源互联网建设战 ... ,发布日期：2020-11-13
2020年1-8月电力消费情况,http://www.ocpe.com.cn/dianli/dlzx/2020-09-18/3950.html,         1-8月，全社会用电量年内首次实现正增长，第二产业和第三产业用电量降幅持续收窄；全国18个省份全社会用电量同比增速超过全国平均水平；制造业日均用电量创历史新 ... ,发布日期：2020-09-18
