标题,链接,摘要,日期
谢钦：中俄两国贸易额有望在今年突破2000亿美元,http://www.ocpe.com.cn/new/new1/2023-10-20/6955.html,"(中国 北京)10月19日,在第三届“一带一路”国际合作高峰论坛圆满闭幕之际,第五届中俄能源商务论坛在京顺利召开。中俄双方能源和相关行业领域人士齐聚一堂,就油气 ... ",发布日期：2023-10-20
俄罗斯红星造船厂正式命名两艘冰级油轮，俄北极,http://www.ocpe.com.cn/new/new1/2023-09-13/6803.html,"近日,俄罗斯滨海边疆区大卡门镇的红星造船厂(Zvezda)举行仪式,为两艘新建造的强化冰级船舶命名。这两艘新船中的一艘为冰级穿梭油轮,另一艘为ARC7冰级液化天然气运输船,其交 ... ",发布日期：2023-09-13
俄罗斯石油公司首席执行官谢钦:能源市场亟需建立,http://www.ocpe.com.cn/new/new1/2023-06-20/6458.html,"近日,俄罗斯石油公司(Rosneft)在第二十六届圣彼得堡国际经济论坛框架下,支持举办了一场能源小组会议,包括中国科学院、清华大学、中国石油集团在内的多个国家学术和企业代表 ... ",发布日期：2023-06-20
马石油与老虎燃气正式达成液化天然气加注业务合,http://www.ocpe.com.cn/new/new1/2023-03-10/6057.html,"【2023年3月7日,上海】马来西亚国家石油公司(简称:马石油)旗下PETRONAS Marine与其长期合作伙伴老虎燃气(TIGER GAS)正式达成液化天然气加注业务合作。今年年初,马石油已成功 ... ",发布日期：2023-03-10
" Panduit 宣布收购 DongWon EN-Tec Co., Ltd. 的",http://www.ocpe.com.cn/new/new1/2023-01-12/5943.html,为亚太地区的海上替代能源与光学通信行业客户拓展产品组合伊利诺伊州，廷利帕克 -（2023 年 1 月 12 日）- 创新性电气和网络基础设施解决方案的全球性领导者 Panduit 泛达公 ... ,发布日期：2023-01-12
沙特阿美子公司S-Oil计划在韩国建造石化裂解装置,http://www.ocpe.com.cn/new/new1/2022-11-22/5807.html,&middot; 是迄今为止沙特阿美在韩国的最大一笔投资，将确保原油的稳定供给&middot; 是TC2C TM热催化原油直接制化学品技术的首次商业化部署，此技术由沙特阿美与鲁玛斯技术公 ... ,发布日期：2022-11-22
2023年扎耶德可持续发展奖申请通道正式开放,http://www.ocpe.com.cn/new/new1/2022-03-21/5210.html," 欢迎中小型企业、非营利组织以及全球高中在2022年7月6日前进行奖项申报(2022年3月16日,迪拜)扎耶德可持续发展奖是阿联酋为表彰提出可持续发展解决方案的组织及高中而设立的 ... ",发布日期：2022-03-21
共建绿色同赢未来 意大利环保展团亮相第四届进博,http://www.ocpe.com.cn/new/new1/2021-11-05/4928.html,       意大利在环保领域的科技水平居于世界前列。近年来，意大利工业和服务业对绿色产品和技术的投资更在快速增长。牛津大学一项研究发现，凭借环境专利申请数量、低二氧化 ... ,发布日期：2021-11-05
宾夕法尼亚州丰沛的天然气资源助力该州塑料产业,http://www.ocpe.com.cn/new/new1/2021-06-21/4560.html,"       哈里斯堡，2021 年 6 月 21 日 - 据宾夕法尼亚州经济发展厅 （DCED） 当地消息，Cardinal System, Inc. 宣布将升级其在宾夕法尼亚州Schuylkill County和York County ... ",发布日期：2021-06-21
REA Consult为中国投资者打开巴西绿色能源的快速,http://www.ocpe.com.cn/new/new1/2020-08-24/3668.html,"  REA Consult是一家全球性的专业可再生能源管理与咨询企业,近日宣布正式进入中国市场,致力于为中国投资者连接拉美和欧洲的绿色可再生能源市场。成立至今,REA Consult 已帮 ... ",发布日期：2020-08-18
