标准号,标准名称,发布日期,实施日期,状态,查看详情
GB/T 32865-2025,致密砂岩气产品质量要求和试验方法,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=1304878CBC98E5B7856CCC5DBE877E75
GB/T 33296-2025,页岩气产品质量要求和试验方法,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=F68F27BDB2EBC1590A76D529B6F6878E
GB/T 20604-2025,天然气  词汇,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=3E763D98EBA6CC72DD6042A646FF6A54
GB/T 45546-2025,骨类调味料质量通则,2025-04-25,"
												
												
												2026-05-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=7881579AFDCE3DCEFA8A4B5F71079E0F
GB/T 45413-2025,供水管网水锤监测系统通用技术要求,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=47242910D67C00D603DA4DEFDC349AB3
GB/T 45632-2025,数字航空摄影测量 控制测量规范,2025-04-25,"
												
												
												2025-08-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=693519B381FBBF697071019B82D268FF
GB/T 45563.1-2025,知识产权鉴定规范 第1部分：总则,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=15106F6A011AA5F85545A8EF8CB7416F
GB/T 45563.2-2025,知识产权鉴定规范 第2部分：专利,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=B5CE3AA268B28E0B14FCCA8158D301D5
GB/T 45563.3-2025,知识产权鉴定规范 第3部分：商标,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=E1239F1CAC1DECE3B079EA8CF490A215
GB/T 45517-2025,玩具及儿童用品中苯酚的测定  高效液相色谱法,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=D0C1509D88D2232AF880DA9277411C6D
GB/T 33411-2025,酶联免疫分析试剂盒通则,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=60BB7973F881B495730423D0CCC63EBC
GB/T 45628-2025,人工智能 知识图谱 知识交换协议,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=B8C141AB9E8D922A3D8285BEF067DC50
GB/T 45500-2025,车载激光雷达性能要求及试验方法,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=025947B02F32ED0B39F97F04237FB509
