股票代码,名称,最新价/元,涨跌幅/%,涨跌额/元,成交量/万,成交额/亿,振幅/%,最高/元,最低/元,今开/元,昨收/元,量比,换手率/%,市盈率,市净率
300946,恒而达,35.8,12.58,4.0,939.22,3.3016539131,18.49,37.77,31.89,31.9,31.8,2.87,16.62,53.65,3.58
838171,邦德股份,16.72,12.29,1.83,463.3,0.7522319714,11.55,17.2,15.48,15.48,14.89,2.83,8.0,18.82,3.88
688018,乐鑫科技,218.0,12.16,23.64,640.81,13.67194267,8.23,218.99,203.0,203.0,194.36,2.68,5.71,65.26,10.88
300972,万辰集团,164.75,12.07,17.75,618.95,9.9978997375,16.47,171.0,146.79,146.79,147.0,1.52,3.97,34.5,22.4
872953,国子软件,54.87,11.98,5.87,520.21,2.7502760031,11.82,54.89,49.1,49.9,49.0,2.02,19.08,167.82,9.09
300281,金明精机,6.79,11.31,0.69,5737.44,3.8542881443,16.07,7.08,6.1,6.1,6.1,2.28,14.44,313.33,2.25
300258,精锻科技,13.32,11.28,1.35,5282.31,6.7375754404,16.54,13.82,11.84,11.96,11.97,1.89,10.6,42.55,1.7
430425,乐创技术,32.25,10.82,3.15,910.94,2.8979056918,20.45,34.95,29.0,30.55,29.1,2.09,21.54,45.6,6.44
301260,格力博,15.78,10.66,1.52,2232.17,3.4354056291000004,13.53,16.22,14.29,14.29,14.26,5.2,10.52,10.88,1.64
300911,亿田智能,50.25,10.61,4.82,1446.24,7.4412017116,11.71,54.28,48.96,49.0,45.43,2.89,11.14,-40.96,5.31
920106,林泰新材,142.5,10.47,13.5,229.55,3.1913799576999997,8.52,142.99,132.0,132.01,129.0,1.14,18.96,37.03,11.48
832876,慧为智能,28.0,10.32,2.62,440.67,1.1901240892,11.03,28.0,25.2,25.2,25.38,2.24,11.4,208.38,7.14
688678,福立旺,21.49,10.15,1.98,1742.38,3.66445307,12.2,22.18,19.8,19.8,19.51,1.52,6.72,98.84,3.06
600340,华夏幸福,2.39,10.14,0.22,25130.33,5.85364907,11.06,2.39,2.15,2.15,2.17,2.69,6.45,-0.87,4.61
000016,深康佳Ａ,5.45,10.1,0.5,6225.6,3.3707250188,3.84,5.45,5.26,5.36,4.95,1.03,3.9,34.6,5.54
603839,安正时尚,5.78,10.1,0.53,655.27,0.37512779,5.9,5.78,5.47,5.5,5.25,0.46,1.64,25.03,1.22
600743,华远地产,1.86,10.06,0.17,5523.9,1.01474127,7.69,1.86,1.73,1.73,1.69,2.0,2.35,-77.83,6.66
000565,渝三峡Ａ,7.55,10.06,0.69,12439.91,9.2128338037,12.68,7.55,6.68,7.55,6.86,6.76,28.69,155.89,2.63
600735,新华锦,5.69,10.06,0.52,3537.14,1.95645516,10.06,5.69,5.17,5.17,5.17,1.87,8.31,96.82,2.01
603123,翠微股份,8.43,10.05,0.77,2231.71,1.86245612,7.44,8.43,7.86,7.89,7.66,0.48,3.42,-20.55,3.27
002189,中光学,19.26,9.99,1.75,1167.77,2.1918225815,8.79,19.26,17.72,17.99,17.51,3.77,4.47,-18.47,7.77
002422,科伦药业,36.21,9.99,3.29,4198.48,14.4571288897,13.37,36.21,31.81,31.94,32.92,2.36,3.22,24.76,2.51
002933,新兴装备,34.34,9.99,3.12,1226.77,4.13427213,6.05,34.34,32.45,32.97,31.22,4.24,10.75,95.08,2.66
002861,瀛通通讯,14.53,9.99,1.32,4726.81,6.7908016277,4.92,14.53,13.88,14.53,13.21,2.51,31.48,-38.79,2.37
603185,弘元绿能,14.2,9.99,1.29,1438.51,1.99456923,8.29,14.2,13.13,13.25,12.91,3.42,2.12,-38.96,0.82
605133,嵘泰股份,37.98,9.99,3.45,946.46,3.4853286,10.8,37.98,34.25,34.5,34.53,1.1,5.12,42.83,2.31
603883,老百姓,20.15,9.99,1.83,5994.27,11.779412,10.53,20.15,18.22,18.3,18.32,3.0,7.9,15.28,2.24
605151,西上海,17.62,9.99,1.6,529.88,0.90981743,9.05,17.62,16.17,16.28,16.02,2.81,3.94,-77.78,1.76
603040,新坐标,34.69,9.99,3.15,1295.86,4.37775432,6.94,34.69,32.5,32.5,31.54,2.38,9.59,17.72,3.31
603359,东珠生态,7.6,9.99,0.69,4320.56,3.21871879,11.43,7.6,6.81,6.85,6.91,0.63,9.69,-2146.53,1.27
002915,中欣氟材,21.37,9.98,1.94,8094.42,16.9343043258,7.05,21.37,20.0,21.37,19.43,1.23,28.08,558.12,5.34
002581,未名医药,6.61,9.98,0.6,4294.7,2.6979452720999997,15.31,6.61,5.69,5.69,6.01,5.96,10.72,-29.58,2.31
002546,新联电子,4.96,9.98,0.45,5388.4,2.6111708578,5.54,4.96,4.71,4.75,4.51,3.78,6.73,9.64,1.21
002006,精工科技,17.2,9.97,1.56,2630.45,4.4151714734,9.97,17.2,15.64,15.64,15.64,2.67,5.78,51.43,3.77
603166,福达股份,16.43,9.97,1.49,3692.24,5.8306719,9.71,16.43,14.98,15.06,14.94,1.13,5.78,40.77,4.32
