评论用户id,评论内容,评论提交时间
436111863,"友好、乐于助人的员工和很棒的位置，但房间很小，尤其是双人间。虽然我们有一个大而舒适的床,通道空间和衣柜空间非常有限,许多不必要的设备占用很多面积,包括足部按摩仪(我们是这么认为的,无论如何它确实占用了大量的空间),一个除湿机(我们认为)和裤子熨斗。这几天我们真的不需要这些东西，而且会更喜欢他们的搬离所带来的额外空间。说了这么多，这真的是一家非常不错的酒店，我们会完全推荐它，但双人间可能是更好的选择。",2017-06-20 17:06:50
432816509,这里去往地铁，火车和商店都很方便。房间非常大，设备齐全。员工很友好且乐于助人。马桶质量很好。尽管在市中心，还是很安静。在大厅的免费咖啡机很加分。,2017-06-07 17:03:56
424761483,"地点：乘出租从Nagasaki火车站到酒店只需要十分钟，花费800日元。地点在中心。有道路直通Haman-machi商业街。坐电车就能轻松到达。离餐厅，商店和夜店很近，步行距离很短。
酒店：员工友好，迁入很快捷。前台给的关于城市和餐厅建议很有帮助。双人房的大小合适。房间明亮，很新，干净。床和枕头也很好。员工效率高，房间很安静。空气清新剂很棒，浴室也很好。仅需每小时额外支付1000日元，延时迁出就可以安排到两点之后。冰箱很吵，但是晚上只要关上前面的一个按钮就可以轻易地关掉它。很实用，有磁性，粘在门上，不会干扰到房间的装饰（比如看图片）。有免费WIFI。",2017-05-10 17:03:23
420114913,这家酒店的位置非常优越，在前门有一个电车和巴士站，并且这里位于购物商场的入口处。这里的房间非常棒，非常舒服。酒店很干净，具备了一切你所需要的设施。我强烈推荐这里的早餐，非常美味。如果我有幸返回长崎，这里一定是我的第一选择，我强烈推荐这里。,2017-04-24 17:11:10
419012866,樱花盛开的时候我在这里住，那是最后的预定，享受40%的折扣。我在长崎的时候比京都少花费300块还住的更好。房间里额外的按摩器和Ipad非常好，地点很好，离华人城很近，很多购物和吃饭的地方。,2017-04-20 09:01:38
409827552,我们住在这家酒店只留了一晚 Queen Bed Room，我们的房间有长崎市景观，房间价格约 HKD600，非常实惠。房间里有一个足部按摩机，还有空间可以打开两个大行李。床很大和舒服。当我们在早上退房时，大堂里供应热咖啡和热巧克力。热巧克力非常美味！下次我会尝试在日本其他Forza酒店！,2017-03-18 10:16:36
403844663,如果下次再来长崎旅行，我一定还在这里入住！酒店就在Kankodori车站的对面。酒店的设计风格很现代，和其他日本酒店的房间相比，这里的房间非常宽敞。酒店的服务生可流利地使用英语进行交流。,2017-02-23 17:02:57
400770697,这家酒店很不错，房间很大，靠近车站，我们步行从博多车站来到这儿。抓紧时间吃早饭，对我来说非常重要，这里食物的数量让我震惊，有培根和鸡蛋等。前台的工作人员很友好，会卖给旅客电车票。还会再来这里的，床真的非常不错。,2017-02-13 17:06:09
393315073,酒店坐落于长崎市中心，非常便捷。从长崎JR车站需要大约810日元，电车车站就位于街道的前面。酒店附近你能找到各种各样的当地餐厅和连锁商店。酒店房间干净、温暖，对于女性客人他们还提供额外的项目（浴盐、面部爽肤水、乳霜、发带、还有头发按摩霜）都是免费的。,2017-01-13 17:04:47
391210132,极好的房间，然而抽水马桶有着非常糟糕的气味，别的房间是非常新的。很好的早餐！对于那些开车的人，一定要记住，他们的停车位是有点儿远的。很难去到那里。特别说一下前台的凯西。说着完美的英式英语，是一个救生员，给你指出去往停车场的方向。,2017-01-05 17:17:24
515222092,这个酒店是长崎一家购物商场的一部分。这里离不同的地铁线和老城镇很近。房间麻雀虽小但是五脏俱全。早餐是单付的但是还不错。当我想打印什么东西的时候工作工作人员有点不够，花的时间太长了。酒店是西式风格。,2018-04-16 17:33:37
515210113,交通选择1号线在长崎站33站下车，酒店入口就在一个大型购物中心。酒店内部干净整洁，有你所需要的一切。甚至每个房间还有足部按摩，背部颈部按摩。工作人员亲切友好。因为一直在下雨，他们还给了我如何保持身体干爽的出去玩建议，借给我们雨伞用。如果你需要大堂的咖啡还有早餐都不错。天气晴朗的时候靠走的就可以去所有主要景点，回来穿过唐人街可以吃个晚饭，走个5分钟就可以到酒店了。,2018-04-16 17:09:25
506944316,酒店位于购物广场附近，周边有很多美食和购物的地点可供选择，对于去往长崎的大部分景点，这里也很便利，可以步行游览周边。按日本标准来看，这里的房间很大，特别是这个酒店位于市中心。房间很舒适，员工的英语说得不错，在大部分情况下，乐于助人。早餐有日式风格和西式风格的多种食物可供选择，如果我再来长崎游览，我还会入住这里。,2018-03-09 17:01:25
