评论内容,评论时间,平均评分,点赞数
千岩万壑图》气势磅礴、内容丰富。画家龚贤作为“金陵八家”之首，运用明暗关系表现山体造型，主次有序，黑白比例协调，水墨层次丰富，突破传统中国画以线条造型为主的程式，呈现出具有3D立体感的山水图景。,2025-04-22IP属地：安徽,4.6,"
点赞"
南京博物院占地13万余平方米，为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。 是首批国家一级博物馆、首批中央地方共建国家级博物馆、国家AAAA级旅游景区、全国重点文物保护单位和中国20世纪建筑遗产，,2025-04-21IP属地：山东,4分 满意,"
8"
"🏛南京博物院必玩点评｜本地人整理的保姆级攻略来啦！避开人流玩转镇馆之宝✨ 嗨～这里是南京土著小鹿🦌！今天带你解锁中国三大博物馆之一的南京博物院，这份「必玩避坑指南」收好咯～ 📍【必看镇馆之宝】 🔸西汉金兽：9100克黄金打造，纯度99%的土豪金萌兽 3 9 🔸竹林七贤砖画：1600年前的魏晋风骨，看古人的""偶像天团""合影1 6 🔸大报恩寺琉璃拱门：阳光下会发光的明代绝美艺术品1 9 🔸金缕玉衣：汉代帝王级""高定寿衣""，金丝串玉超震撼3 9 📍【沉浸式玩法推荐】 🌇民国馆穿越体验： ➊ 穿旗袍在老茶馆听白局/昆曲（下午2-4点有演出 3 ） ➋ 在复刻的民国邮局寄明信片，盖特色邮戳1 ➌ 动态解锁：按方抓药、挑旗袍、拍复古写真3 🖼数字馆黑科技： ✨AR考古挖宝、3D文物复活、穹顶投影看文明演进 1 6 （带娃党必冲！互动装置超有趣～）",2025-04-20IP属地：山东,5分 超棒,"
1"
没见过这么乱的博物馆 1.其他省是文物下面直接有名称，这家是有号得找个相应对号看，有的还没号估计同类的只写了一个号 2.总4个楼，左边3个楼文物摆放很松散，走路相当多。人一直在馆里，跟快进快出的其它省完全相反 3 其它省是瓷器馆，织物馆，画展等分类，不喜欢的直接不去，这里是直接展厅1.2.3. 感觉带四大博物院名头也就那样，文物是多但也没什么特别的，路过可以看看但没必要特意去看,2025-04-17IP属地：山东,5分 超棒,"
点赞"
南京博物院，国内三大博物馆之一 从新石器时代的玉琮到民国绣娘的银针，每一件都是时光的切片，这里不是凝固的标本库，也不是冰冷的混凝土建筑，而是一座仍在生长的记忆宫殿 民国馆:复刻1912年的南京街头，老式福特汽车、邮局的黄铜柜台、叮叮当当进站的火车…都能让我们沉浸在那个民国时代的老南京 历史馆:以地层剖面为脉络，从恐龙化石到明清瓷釉，10万件文物串起江苏大地的文明年轮 镇馆之宝 南博的18件镇院之宝不会一次性全部展出，为了文物保护需求，部分文物会不定期轮流展出位 置也不固定，所以来一次是不可能的 要来很多 很多次 新石器时代 透雕人鸟兽玉饰(历史馆)2人面兽面组合纹玉琮 战国至汉代 战国错金银重络铜壶 西汉金兽(特展馆) 东汉银缕玉衣(历史馆3展厅为金缕玉衣)东汉广陵王玺金印东汉错银铜牛灯 东汉鎏金镶嵌兽形铜盒砚 魏晋南北朝 西晋青瓷神兽尊(历史馆) 南朝竹林七贤与荣启期砖画(历史馆) 明代 明釉里红岁寒三友纹梅瓶(特展馆)金蝉玉叶(特展馆)明鎏金喇嘛塔 利玛窦《坤舆万国全图》(特展馆)明青花寿山福海纹炉(特展馆) 徐渭《杂花图卷》 清代至民国 清金观音菩萨立像 民国沈寿绣品《耶稣像》,2025-04-15IP属地：河北,2分 一般,"
点赞"
南博集历史、艺术、科技体验于一体，建议预留4-6小时深度游览，真的非常值得一看！不仅藏品丰富，而且互动体验也不错的，可听可看可以品尝！😍,2025-04-09IP属地：上海,5分 超棒,"
1"
小邹妹妹的讲解很耐心，也很温柔，我都学会啦～合香是一个全新的体验呢！而且位置特别好，在老茶馆二楼，可以看到整个茶馆风光！做好后还拍了些照片，超级好看！真的属于必打卡的内容，很有新奇感，推荐大家试一试～,2025-04-03IP属地：江苏,5分 超棒,"
点赞"
一场穿越时空的文化盛宴——南京博物院游玩有感 走进南京博物院，就像一头扎进了历史的长河，开启了一场跨越千年的奇妙之旅。 一踏入大门，历史馆就以其庄重肃穆的氛围迎接四方来客。在这里，从远古时期的石器工具，到商周的青铜器，再到秦汉的竹简丝帛，一路浏览下来，仿佛亲眼见证了江苏地区上下五千年的文明进程。银缕玉衣静静陈列，诉说着汉代贵族的奢华与神秘；元青花萧何月下追韩信梅瓶，那细腻的笔触、明艳的色彩，让人不禁感叹古人的高超技艺，真不愧是镇馆之宝。 特展馆常常带来惊喜，每次展览都主题各异，让人领略到不同文化的魅力。我上次去的时候，就有幸欣赏到一场国外艺术大师的作品巡展，与国内馆藏珍品碰撞出别样的火花 。 民国馆更是不容错过，踏入其中，就像穿越回了民国时代。复古的招牌、黄包车、旧站台，还有街边的小酒馆，每一处细节都充满了年代感。穿着旗袍的姑娘们穿梭其中，随手一拍都是大片，在这里，历史不再是书本上枯燥的文字，而是鲜活可触的生活场景 。 数字馆充满科技感，多媒体互动让文物“活”了起来，孩子在里面玩得不亦乐乎，能在趣味中了解历史知识。艺术馆中，书画、陶瓷、雕刻等各类艺术品琳琅满目，展现着古代文人墨客的风雅与匠人的精湛手艺。非遗馆则传承着江苏的民间技艺，剪纸、刺绣、糖画等，每一项都让人赞叹不已。 不过，南博人气太旺，一定要提前在微信公众号预约，不然很可能吃闭门羹。馆内较大，建议穿舒适的鞋子。要是想深入了解文物背后的故事，不妨请个导游，或者租赁讲解器。馆内餐饮选择有限，也可自备小零食补充能量。 南京博物院，是历史与现代的交融，是知识的宝库，也是艺术的殿堂，每一次游览，都能带来新的感悟与收获，强烈推荐大家来感受这场文化盛宴！,2025-03-31IP属地：广东,5分 超棒,"
1"
南京博物院盖章攻略✅20枚免费章（附位置||分享南京博物院最新盖章攻略 无需消费 带上本子就行📒 📍历史馆➡️数字馆➡️特展馆➡️艺术馆➡️民国馆 📒盖章点位: 1️⃣历史馆:3枚(2枚固定+1枚流动 目前只2枚) 📍1楼4号厅和6号厅中间 2️⃣特展馆:3枚(2枚固定+1枚流动 目前有一枚) 📍文创店入口右侧，另外特展馆二层春华秋实特展还有1枚 3️⃣艺术馆:3枚(2枚固定+1枚流动 目前有2枚) 📍文创店旁边 4️⃣民国馆:青年日记系列印章8枚 📍吉祥银楼1枚、邮政局的2枚、火车站1枚、老茶馆1枚、韶华咖啡馆1枚、光华书局1枚、红公爵酒吧1枚、興楽糖果號1枚、首饰铺1枚、正青春百货 5️⃣博苏堂:2枚固定 📍大门进来左侧服务中心方向负一楼 ✅买了三个博物院纪念品 南博标志性的冰箱贴 6️⃣服务中心:1枚固定 📍大门进来左侧服务中心前台处 ‼️盖章的时候要对准了之后轻轻把章子放下去，再大力按压！一定要稳、准、狠一气呵成，不然可能就会印糊了或者盖不完整 🚇交通：2号线明故宫1号口 步行五分钟就到啦 🎫门票：🆓提前7天预约,2025-03-29IP属地：海南,5分 超棒,"
点赞"
第二次来，觉得没意思了 艺术馆好几个馆都没开 人多，还不开空调,2025-03-28IP属地：江苏,5分 超棒,"
点赞"
